routeID,timestamp,stopName,routeShortName,serviceDay,scheduledArrival,arrivalDelay,distanceFromStart,stopsTotal
VHJpcDpIU0w6NDQxNV8yMDIyMDIxNF9NYV8xXzA0MjI=,1644805477.2152684,H1911,415,1644789600,15900,45,1,47
VHJpcDpIU0w6MjIzMU5fMjAyMjAyMTFfTWFfMl8wMzU4,1644806524.7026176,H1914,231N,1644789600,16680,239,47,50
VHJpcDpIU0w6MjExNE5fMjAyMjAyMTFfTWFfMl8wNDMw,1644807155.8966336,E2332,114N,1644789600,17580,-22,28,32
VHJpcDpIU0w6MjE0N05fMjAyMjAyMTFfTWFfMl8wNDMw,1644807294.450998,E2332,147N,1644789600,17700,3,26,30
VHJpcDpIU0w6NDQxNV8yMDIyMDIxNF9NYV8xXzA0NTI=,1644807309.7996893,H1911,415,1644789600,17700,39,1,47
VHJpcDpIU0w6MjExMk5fMjAyMjAyMTFfTWFfMl8wNDMw,1644807355.9564803,E2332,112N,1644789600,17400,355,31,40
VHJpcDpIU0w6MjEzNE5fMjAyMjAyMTFfTWFfMl8wNDI3,1644807709.8035216,E2332,134N,1644789600,17880,229,32,36
VHJpcDpIU0w6MjQzNktfMjAyMjAyMTRfTWFfMV8wNTA1,1644808017.6762736,H1911,436K,1644789600,18420,6,1,45
VHJpcDpIU0w6NDMzMl8yMDIyMDIxMV9NYV8yXzA0NTc=,1644808095.1906002,H1914,332,1644789600,20160,0,38,41
VHJpcDpIU0w6MjIzMU5fMjAyMjAyMTFfTWFfMl8wNDI4,1644808110.5607252,H1914,231N,1644789600,18600,-88,47,50
VHJpcDpIU0w6NDMzMl8yMDIyMDIxMV9NYV8yXzA0NTc=,1644808187.5244474,H1914,332,1644789600,20160,737,38,41
VHJpcDpIU0w6MjE0N05fMjAyMjAyMTFfTWFfMV8wNTEw,1644808249.0355282,H1234,147N,1644789600,18660,0,1,31
VHJpcDpIU0w6MTA0MF8yMDIyMDIxMV9NYV8yXzA0NDM=,1644808264.5937965,H1914,40,1644789600,18480,174,20,23
VHJpcDpIU0w6MTAzMF8yMDIyMDIxMV9NYV8yXzA0MzI=,1644808279.9704149,H1210,30,1644789600,18660,15,35,40
VHJpcDpIU0w6MTAyMV8yMDIyMDIxMV9NYV8xXzA1MTE=,1644808310.765797,H1234,21,1644789600,18720,0,1,15
VHJpcDpIU0w6MTAyMV8yMDIyMDIxMV9NYV8yXzA1MTI=,1644808310.7659411,H1025,21,1644789600,18720,-175,0,16
